label,statement,named_entities,tagged_statement
1,"Brazil built a $300 million stadium in the Amazon rainforest that ""is only going to be used for four World Cup games,"" and there's no team ""that can fill it afterwards.","[('Brazil', 'GPE'), ('$300 million', 'MONEY'), ('Amazon', 'ORG'), ('four', 'CARDINAL'), ('World Cup', 'EVENT')]","[GPE]Brazil[/GPE] built a [MONEY]$300 million[/MONEY] stadium in the [ORG]Amazon[/ORG] rainforest that ""is only going to be used for [CARDINAL]four[/CARDINAL] [EVENT]World Cup[/EVENT] games,"" and there's no team ""that can fill it afterwards."
1,"The Democratic health care law ""added 12 years of solvency to Medicare.","[('Democratic', 'NORP'), ('12 years', 'DATE'), ('Medicare', 'ORG')]","The [NORP]Democratic[/NORP] health care law ""added [DATE]12 years[/DATE] of solvency to [ORG]Medicare[/ORG]."
0,"Says Bernie Sanders is going to ""tax you people at 90 percent.","[('Bernie Sanders', 'PERSON'), ('90 percent', 'PERCENT')]","Says [PERSON]Bernie Sanders[/PERSON] is going to ""tax you people at [PERCENT]90 percent[/PERCENT]."
0,"Biden failed to condemn far-left violent groups like Antifa, instead faulting only the brave men and women of law enforcement.","[('Biden', 'PERSON'), ('Antifa', 'ORG')]","[PERSON]Biden[/PERSON] failed to condemn far-left violent groups like [ORG]Antifa[/ORG], instead faulting only the brave men and women of law enforcement."
1,"There have been at least 100 shootings each year [Angel Taveras] has been mayor"" of Providence.","[('at least 100', 'CARDINAL'), ('each year', 'DATE'), ('Angel Taveras', 'PERSON'), ('Providence', 'GPE')]","There have been [CARDINAL]at least 100[/CARDINAL] shootings [DATE]each year[/DATE] [[PERSON]Angel Taveras[/PERSON]] has been mayor"" of [GPE]Providence[/GPE]."
1,Says Obama broke his promise to help homeowners facing foreclosure.,"[('Obama', 'PERSON')]",Says [PERSON]Obama[/PERSON] broke his promise to help homeowners facing foreclosure.
0,Yesterday Virginia announced the end of youth hunting!,"[('Yesterday', 'DATE'), ('Virginia', 'GPE')]",[DATE]Yesterday[/DATE] [GPE]Virginia[/GPE] announced the end of youth hunting!
0,Aaron Salter Jr. was killed by a mass shooter because he was working on creating a water-powered car engine.,"[('Aaron Salter Jr.', 'PERSON')]",[PERSON]Aaron Salter Jr.[/PERSON] was killed by a mass shooter because he was working on creating a water-powered car engine.
0,"Says ""a lip-reading instructor at the River School, a Washington, D.C., school for the deaf"" has determined that during 9/11 ceremonies, Michelle Obama said, ""All this for a damn flag.","[('the River School', 'ORG'), ('Washington', 'GPE'), ('D.C.', 'GPE'), ('9/11', 'CARDINAL'), ('Michelle Obama', 'PERSON')]","Says ""a lip-reading instructor at [ORG]the River School[/ORG], a [GPE]Washington[/GPE], [GPE]D.C.[/GPE], school for the deaf"" has determined that during [CARDINAL]9/11[/CARDINAL] ceremonies, [PERSON]Michelle Obama[/PERSON] said, ""All this for a damn flag."
0,The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement.,"[('Jackson', 'PERSON'), ('Cleveland', 'GPE')]",The ([PERSON]Jackson[/PERSON]) plan (for reforming [GPE]Cleveland[/GPE] schools) lacks any data or methods proven to raise student achievement.
0,"On the day of the Dec. 6 runoff, ""armed groups of Black Panthers"" were ""reportedly patrolling certain voting locations"" in Georgia.","[('the day of the', 'DATE'), ('Dec. 6', 'DATE'), ('Black Panthers', 'ORG'), ('Georgia', 'GPE')]","On [DATE]the day of the[/DATE] [DATE]Dec. 6[/DATE] runoff, ""armed groups of [ORG]Black Panthers[/ORG]"" were ""reportedly patrolling certain voting locations"" in [GPE]Georgia[/GPE]."
0,"After Texas defunded Planned Parenthood, both the unintended pregnancy and abortion rates dropped.","[('Texas', 'GPE'), ('Planned Parenthood', 'ORG')]","After [GPE]Texas[/GPE] defunded [ORG]Planned Parenthood[/ORG], both the unintended pregnancy and abortion rates dropped."
0,Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!,"[('General Pershing', 'ORG'), ('the United States', 'GPE'), ('Radical Islamic Terror', 'ORG'), ('35 years', 'DATE')]",Study what [ORG]General Pershing[/ORG] of [GPE]the United States[/GPE] did to terrorists when caught. There was no more [ORG]Radical Islamic Terror[/ORG] for [DATE]35 years[/DATE]!
0,"Taxpayer-funded benefits to illegals"" in California are ""a skyrocketing cost under Obamacare.","[('California', 'GPE'), ('Obamacare', 'ORG')]","Taxpayer-funded benefits to illegals"" in [GPE]California[/GPE] are ""a skyrocketing cost under [ORG]Obamacare[/ORG]."
1,"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.","[('2018', 'DATE'), ('500%', 'PERCENT'), ('Democrat', 'NORP'), ('Texas', 'GPE')]","In [DATE]2018[/DATE], when he ran for senator, ""young voter turnout in early voting was up [PERCENT]500%[/PERCENT]. We won more votes than any [NORP]Democrat[/NORP] has in the history of the state of [GPE]Texas[/GPE]."
0,Rhode Island is leading our nation in foreclosures.,"[('Rhode Island', 'GPE')]",[GPE]Rhode Island[/GPE] is leading our nation in foreclosures.
1,"The health care reform plan being proposed in Congress would mean ""big tax increases.","[('Congress', 'ORG')]","The health care reform plan being proposed in [ORG]Congress[/ORG] would mean ""big tax increases."
0,"Says Dr. Anthony Fauci's name appears on ""4 U.S. patents for a key glycoprotein"" used to ""create the current COVID-19 epidemic.","[(""Anthony Fauci's"", 'PERSON'), ('4', 'CARDINAL'), ('U.S.', 'GPE'), ('COVID-19', 'ORG')]","Says Dr. [PERSON]Anthony Fauci's[/PERSON] name appears on ""[CARDINAL]4[/CARDINAL] [GPE]U.S.[/GPE] patents for a key glycoprotein"" used to ""create the current [ORG]COVID-19[/ORG] epidemic."
1,Our race was the closest U.S. Senate race in Ohio in 36 years -- when Howard Metzenbaum defeated Robert Taft in 1976.,"[('U.S. Senate', 'ORG'), ('Ohio', 'GPE'), ('36 years', 'DATE'), ('Howard Metzenbaum', 'PERSON'), ('Robert Taft', 'PERSON'), ('1976', 'DATE')]",Our race was the closest [ORG]U.S. Senate[/ORG] race in [GPE]Ohio[/GPE] in [DATE]36 years[/DATE] -- when [PERSON]Howard Metzenbaum[/PERSON] defeated [PERSON]Robert Taft[/PERSON] in [DATE]1976[/DATE].
0,This is the first time in the history that we've had the raising of a debt limit also with spending cuts.,"[('first', 'ORDINAL')]",This is the [ORDINAL]first[/ORDINAL] time in the history that we've had the raising of a debt limit also with spending cuts.
0,A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.,[],A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.
1,Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.,"[('Incoming House', 'ORG'), ('Dean Cannon', 'PERSON'), ('Senate', 'ORG'), ('Mike Haridopolos', 'PERSON'), ('Florida', 'GPE')]",[ORG]Incoming House[/ORG] Speaker [PERSON]Dean Cannon[/PERSON] and incoming [ORG]Senate[/ORG] President [PERSON]Mike Haridopolos[/PERSON] have said they plan to champion efforts next legislative session to allow oil rigs off [GPE]Florida[/GPE]'s coast.
0,"Only sign outside Bucks County voting place. Democrats shown, republicans blurred out. … More scamming in Pennsylvania!","[('Bucks County', 'GPE'), ('Democrats', 'NORP'), ('republicans', 'NORP'), ('Pennsylvania', 'GPE')]","Only sign outside [GPE]Bucks County[/GPE] voting place. [NORP]Democrats[/NORP] shown, [NORP]republicans[/NORP] blurred out. … More scamming in [GPE]Pennsylvania[/GPE]!"
1,America's least-trusted news sources are also its most popular.,"[('America', 'GPE')]",[GPE]America[/GPE]'s least-trusted news sources are also its most popular.
0,"In 2009, pre-Hillary, ISIS was not even on the map.","[('2009', 'DATE'), ('pre-Hillary', 'PERSON'), ('ISIS', 'ORG')]","In [DATE]2009[/DATE], [PERSON]pre-Hillary[/PERSON], [ORG]ISIS[/ORG] was not even on the map."
0,"The governor has made a ""commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back.","[('billions of dollars', 'MONEY')]","The governor has made a ""commitment to [MONEY]billions of dollars[/MONEY] in debt and new spending without any explanation of how he plans to pay that money back."
0,There have been more illegal encounters under Biden than the previous two administrations combined.,"[('Biden', 'PERSON'), ('two', 'CARDINAL')]",There have been more illegal encounters under [PERSON]Biden[/PERSON] than the previous [CARDINAL]two[/CARDINAL] administrations combined.
1,"We borrow $4 billion every single day, much of it from China.","[('$4 billion', 'MONEY'), ('every single day', 'DATE'), ('China', 'GPE')]","We borrow [MONEY]$4 billion[/MONEY] [DATE]every single day[/DATE], much of it from [GPE]China[/GPE]."
1,"First, he (Obama) opposed the surge. Then he confidently predicted that it would fail. Then he tried to prevent funding for the troops who carried out the surge.","[('First', 'ORDINAL'), ('Obama', 'PERSON')]","[ORDINAL]First[/ORDINAL], he ([PERSON]Obama[/PERSON]) opposed the surge. Then he confidently predicted that it would fail. Then he tried to prevent funding for the troops who carried out the surge."
1,"Rand Paul ""wants us to pay $2,000 just to get Medicare.","[('Rand Paul', 'PERSON'), ('2,000', 'MONEY'), ('Medicare', 'ORG')]","[PERSON]Rand Paul[/PERSON] ""wants us to pay $[MONEY]2,000[/MONEY] just to get [ORG]Medicare[/ORG]."
0,"Says Hillary Clinton sold 20 percent of America's uranium to Russia and then ""the Russian government gave $145 million to the Clinton Foundation."" Former FBI Director and special counsel Robert Mueller ""delivered it.","[('Hillary Clinton', 'PERSON'), ('20 percent', 'PERCENT'), ('America', 'GPE'), ('Russia', 'GPE'), ('Russian', 'NORP'), ('$145 million', 'MONEY'), ('the Clinton Foundation', 'ORG'), ('FBI', 'ORG'), ('Robert Mueller', 'PERSON')]","Says [PERSON]Hillary Clinton[/PERSON] sold [PERCENT]20 percent[/PERCENT] of [GPE]America[/GPE]'s uranium to [GPE]Russia[/GPE] and then ""the [NORP]Russian[/NORP] government gave [MONEY]$145 million[/MONEY] to [ORG]the Clinton Foundation[/ORG]."" Former [ORG]FBI[/ORG] Director and special counsel [PERSON]Robert Mueller[/PERSON] ""delivered it."
1,"Since 1999, firearm deaths in Ohio have risen 58 percent.","[('1999', 'DATE'), ('Ohio', 'GPE'), ('58 percent', 'PERCENT')]","Since [DATE]1999[/DATE], firearm deaths in [GPE]Ohio[/GPE] have risen [PERCENT]58 percent[/PERCENT]."
0,The Titan submersible was found June 21 with all five passengers alive.,"[('Titan', 'GPE'), ('June 21', 'DATE'), ('five', 'CARDINAL')]",The [GPE]Titan[/GPE] submersible was found [DATE]June 21[/DATE] with all [CARDINAL]five[/CARDINAL] passengers alive.
1,"Says transgender residents make up ""about 1-in-300 people, we're all over the place, we're your friends and your neighbors.","[('about 1', 'CARDINAL')]","Says transgender residents make up ""[CARDINAL]about 1[/CARDINAL]-in-300 people, we're all over the place, we're your friends and your neighbors."
0,The people of Rhode Island don't want same-sex marriage.,"[('Rhode Island', 'GPE')]",The people of [GPE]Rhode Island[/GPE] don't want same-sex marriage.
0,"Some city of Atlanta employees ""have not had raises in eight years.","[('Atlanta', 'GPE'), ('eight years', 'DATE')]","Some city of [GPE]Atlanta[/GPE] employees ""have not had raises in [DATE]eight years[/DATE]."
0,"Quotes Mike Pence as saying that people with pre-existing conditions need ""more Jesus care,"" not health care.","[('Quotes Mike Pence', 'ORG'), ('Jesus', 'PERSON')]","[ORG]Quotes Mike Pence[/ORG] as saying that people with pre-existing conditions need ""more [PERSON]Jesus[/PERSON] care,"" not health care."
1,We have the third-lowest minimum wage … of developed countries.,"[('third', 'ORDINAL')]",We have the [ORDINAL]third[/ORDINAL]-lowest minimum wage … of developed countries.
1,"Just in our first six months in office, Missouri moved up the rankings nine places ... of the best states to do business.","[('our first six months', 'DATE'), ('Missouri', 'GPE'), ('nine', 'CARDINAL')]","Just in [DATE]our first six months[/DATE] in office, [GPE]Missouri[/GPE] moved up the rankings [CARDINAL]nine[/CARDINAL] places ... of the best states to do business."
0,"Under a public health care option, 120 million Americans will ""lose what they now get from private companies and be forced onto the government-run rolls as businesses decide it is more cost-effective for them to drop coverage.","[('120 million', 'CARDINAL'), ('Americans', 'NORP')]","Under a public health care option, [CARDINAL]120 million[/CARDINAL] [NORP]Americans[/NORP] will ""lose what they now get from private companies and be forced onto the government-run rolls as businesses decide it is more cost-effective for them to drop coverage."
1,"Iowans are paying $5,000 extra for everyday goods under Biden and Axne's inflation.","[('Iowans', 'NORP'), ('5,000', 'MONEY'), ('Biden', 'PERSON'), ('Axne', 'PERSON')]","[NORP]Iowans[/NORP] are paying $[MONEY]5,000[/MONEY] extra for everyday goods under [PERSON]Biden[/PERSON] and [PERSON]Axne[/PERSON]'s inflation."
1,You had the last two administrations deport twice as many people as we deported — twice as many.,"[('two', 'CARDINAL')]",You had the last [CARDINAL]two[/CARDINAL] administrations deport twice as many people as we deported — twice as many.
0,"[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia.","[('Georgia', 'GPE')]","[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of [GPE]Georgia[/GPE]."
0,Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.,"[('Congress', 'ORG'), ('the McCarran Warner Act', 'ORG'), ('1952', 'DATE'), ('Muslims', 'NORP')]",[ORG]Congress[/ORG] quietly repealed [ORG]the McCarran Warner Act[/ORG] of [DATE]1952[/DATE] forbidding [NORP]Muslims[/NORP] from holding office.
1,"Under Hillary Clinton's plan ""illegal immigrants convicted of committing crimes get to stay.","[(""Hillary Clinton's"", 'PERSON')]","Under [PERSON]Hillary Clinton's[/PERSON] plan ""illegal immigrants convicted of committing crimes get to stay."
0,Old C-SPAN footage of Joe Biden introducing man in blackface.,"[('Joe Biden', 'PERSON')]",Old C-SPAN footage of [PERSON]Joe Biden[/PERSON] introducing man in blackface.
1,"I am the only one onstage who has never voted to raise your taxes. These two, each, a billion dollars worth of votes to raise your taxes.","[('two', 'CARDINAL'), ('a billion dollars', 'MONEY')]","I am the only one onstage who has never voted to raise your taxes. These [CARDINAL]two[/CARDINAL], each, [MONEY]a billion dollars[/MONEY] worth of votes to raise your taxes."
1,"Welcome to #Houston, the most #diverse city in #America.","[('Houston', 'PERSON'), ('#', 'CARDINAL'), ('America', 'GPE')]","Welcome to #[PERSON]Houston[/PERSON], the most [CARDINAL]#[/CARDINAL]diverse city in #[GPE]America[/GPE]."
1,"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.","[('John McCain', 'PERSON'), ('Senate', 'ORG')]","[PERSON]John McCain[/PERSON] ""has not led on nonproliferation issues when he had the chance in the [ORG]Senate[/ORG]."
1,"The United States has ""the best health care delivery system in the world.","[('The United States', 'GPE')]","[GPE]The United States[/GPE] has ""the best health care delivery system in the world."
1,"Since the day of my election, we've already cut illegal immigration at the southern border by 61 percent.","[('the day', 'DATE'), ('61 percent', 'PERCENT')]","Since [DATE]the day[/DATE] of my election, we've already cut illegal immigration at the southern border by [PERCENT]61 percent[/PERCENT]."
0,Grant Wahl died because of the COVID-19 vaccine.,"[('Grant Wahl', 'PERSON'), ('COVID-19', 'ORG')]",[PERSON]Grant Wahl[/PERSON] died because of the [ORG]COVID-19[/ORG] vaccine.
0,"In Rick Perry's Texas, the governor threatens to leave, to secede from the greatest country in the"" world.","[(""Rick Perry's"", 'PERSON'), ('Texas', 'GPE')]","In [PERSON]Rick Perry's[/PERSON] [GPE]Texas[/GPE], the governor threatens to leave, to secede from the greatest country in the"" world."
1,"Says that voter identification laws ""keep poor people from voting, minorities from voting, the elderly from voting, students from voting.",[],"Says that voter identification laws ""keep poor people from voting, minorities from voting, the elderly from voting, students from voting."
1,"Former President Donald Trump ""instructed all the governors to shut down"" because of the COVID-19 pandemic.","[('Donald Trump', 'PERSON'), ('COVID-19', 'ORG')]","Former President [PERSON]Donald Trump[/PERSON] ""instructed all the governors to shut down"" because of the [ORG]COVID-19[/ORG] pandemic."
1,Says Rick Perry increased spending in Texas by more than 50 percent.,"[('Rick Perry', 'PERSON'), ('Texas', 'GPE'), ('more than 50 percent', 'PERCENT')]",Says [PERSON]Rick Perry[/PERSON] increased spending in [GPE]Texas[/GPE] by [PERCENT]more than 50 percent[/PERCENT].
0,"Says challenger Dominic Chavez is a ""Rick Perry Republican"" lobbyist.","[('Dominic Chavez', 'PERSON'), ('Rick Perry', 'PERSON'), ('Republican', 'NORP')]","Says challenger [PERSON]Dominic Chavez[/PERSON] is a ""[PERSON]Rick Perry[/PERSON] [NORP]Republican[/NORP]"" lobbyist."
0,"Pelosi's $1.9 trillion bailout gives EVERY federal employee a $21,000 bonus check… they never lost their job!","[('$1.9 trillion', 'MONEY'), ('21,000', 'MONEY')]","Pelosi's [MONEY]$1.9 trillion[/MONEY] bailout gives EVERY federal employee a $[MONEY]21,000[/MONEY] bonus check… they never lost their job!"
1,"The Postal Service only gives tribal residents PO boxes. The Republican-controlled Supreme Court just said it's totally okay for North Dakota to demand that ONLY residents with street addresses can vote. Native Americans were the last to get the right to vote, and now they are the first to lose it.","[('The Postal Service', 'ORG'), ('PO', 'ORG'), ('Republican', 'NORP'), ('Supreme Court', 'ORG'), ('North Dakota', 'GPE'), ('Native Americans', 'NORP'), ('first', 'ORDINAL')]","[ORG]The Postal Service[/ORG] only gives tribal residents [ORG]PO[/ORG] boxes. The [NORP]Republican[/NORP]-controlled [ORG]Supreme Court[/ORG] just said it's totally okay for [GPE]North Dakota[/GPE] to demand that ONLY residents with street addresses can vote. [NORP]Native Americans[/NORP] were the last to get the right to vote, and now they are the [ORDINAL]first[/ORDINAL] to lose it."
1,"Most"" of the Bush tax cuts went to people ""in the top 3 percent of this country.","[('Bush', 'PERSON'), ('3 percent', 'PERCENT')]","Most"" of the [PERSON]Bush[/PERSON] tax cuts went to people ""in the top [PERCENT]3 percent[/PERCENT] of this country."
1,"Fact: Mike Bloomberg spent $12 million to re-elect a Senate Republican (Toomey) in 2016. Toomey beat the Dem (McGinty) by 1.5 points. If McGinty had won, Ds would have controlled the Senate after Doug Jones won and could have blocked Kavanaugh from the Supreme Court.","[('Mike Bloomberg', 'PERSON'), ('$12 million', 'MONEY'), ('Senate', 'ORG'), ('Republican', 'NORP'), ('Toomey', 'PERSON'), ('2016', 'DATE'), ('1.5', 'CARDINAL'), ('McGinty', 'PERSON'), ('Senate', 'ORG'), ('Doug Jones', 'PERSON'), ('the Supreme Court', 'ORG')]","Fact: [PERSON]Mike Bloomberg[/PERSON] spent [MONEY]$12 million[/MONEY] to re-elect a [ORG]Senate[/ORG] [NORP]Republican[/NORP] ([PERSON]Toomey[/PERSON]) in [DATE]2016[/DATE]. Toomey beat the Dem (McGinty) by [CARDINAL]1.5[/CARDINAL] points. If [PERSON]McGinty[/PERSON] had won, Ds would have controlled the [ORG]Senate[/ORG] after [PERSON]Doug Jones[/PERSON] won and could have blocked Kavanaugh from [ORG]the Supreme Court[/ORG]."
0,Says there's $4 billion in private investment along the streetcar.,"[('$4 billion', 'MONEY')]",Says there's [MONEY]$4 billion[/MONEY] in private investment along the streetcar.
0,"Says Hillary Clinton ""wants to bring in thousands of refugees to America from all around the world without any kind of security screening.","[('Hillary Clinton', 'PERSON'), ('thousands', 'CARDINAL'), ('America', 'GPE')]","Says [PERSON]Hillary Clinton[/PERSON] ""wants to bring in [CARDINAL]thousands[/CARDINAL] of refugees to [GPE]America[/GPE] from all around the world without any kind of security screening."
1,"After Texas cut"" its ""two-year family planning budget by $73 million, one in four clinics closed their doors.","[('Texas', 'GPE'), ('two-year', 'DATE'), ('$73 million', 'MONEY'), ('one', 'CARDINAL'), ('four', 'CARDINAL')]","After [GPE]Texas[/GPE] cut"" its ""[DATE]two-year[/DATE] family planning budget by [MONEY]$73 million[/MONEY], [CARDINAL]one[/CARDINAL] in [CARDINAL]four[/CARDINAL] clinics closed their doors."
0,"Says Transportation Secretary Ray LaHood will ""force you to stop using your cell phone"" while driving.","[('Transportation', 'ORG'), ('Ray LaHood', 'PERSON')]","Says [ORG]Transportation[/ORG] Secretary [PERSON]Ray LaHood[/PERSON] will ""force you to stop using your cell phone"" while driving."
1,"Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...","[('white America', 'LOC'), ('America', 'GPE'), ('today', 'DATE'), ('2019', 'DATE'), ('the year 1850', 'DATE')]","Disparities in infant mortality between [LOC]white America[/LOC] and black [GPE]America[/GPE] (are) greater [DATE]today[/DATE], in [DATE]2019[/DATE],  than in [DATE]the year 1850[/DATE]..."
0,"Russ Feingold got a memo in 2009 that outlined veteran harm"" at a Wisconsin VA facility ""and nothing was done.","[('Russ Feingold', 'PERSON'), ('2009', 'DATE'), ('Wisconsin VA', 'ORG')]","[PERSON]Russ Feingold[/PERSON] got a memo in [DATE]2009[/DATE] that outlined veteran harm"" at a [ORG]Wisconsin VA[/ORG] facility ""and nothing was done."
0,"A recent photo shows the ""Russian Orthodox Church blessing a rocket called Satan.","[('Russian Orthodox Church', 'NORP'), ('Satan', 'FAC')]","A recent photo shows the ""[NORP]Russian Orthodox Church[/NORP] blessing a rocket called [FAC]Satan[/FAC]."
1,"Says under Mayor Cory Booker, Newark has seen ""violent crime up five years in a row, murder up five years in a row.","[('Cory Booker', 'PERSON'), ('Newark', 'GPE'), ('five years in a row', 'DATE'), ('five years in a row', 'DATE')]","Says under Mayor [PERSON]Cory Booker[/PERSON], [GPE]Newark[/GPE] has seen ""violent crime up [DATE]five years in a row[/DATE], murder up [DATE]five years in a row[/DATE]."
1,"Says Judge Brett Kavanaugh ""ruled that the Consumer Financial Protection Bureau was unconstitutional (reversed by full Circuit Court).","[('Brett Kavanaugh', 'PERSON'), ('the Consumer Financial Protection Bureau', 'ORG'), ('full Circuit Court', 'ORG')]","Says Judge [PERSON]Brett Kavanaugh[/PERSON] ""ruled that [ORG]the Consumer Financial Protection Bureau[/ORG] was unconstitutional (reversed by [ORG]full Circuit Court[/ORG])."
0,"We have the most progressive tax system in the country, right here in Vermont.","[('Vermont', 'GPE')]","We have the most progressive tax system in the country, right here in [GPE]Vermont[/GPE]."
0,"Most of Ted Cruz's money comes from Washington, from outside the state of Texas.","[(""Ted Cruz's"", 'PERSON'), ('Washington', 'GPE'), ('Texas', 'GPE')]","Most of [PERSON]Ted Cruz's[/PERSON] money comes from [GPE]Washington[/GPE], from outside the state of [GPE]Texas[/GPE]."
0,"The border is down 78 percent. Under past administrations, the border didn't go down -- it went up.","[('78 percent', 'PERCENT')]","The border is down [PERCENT]78 percent[/PERCENT]. Under past administrations, the border didn't go down -- it went up."
0,Says Denzel Washington supports Donald Trump and speaks out against Barack Obama.,"[('Denzel Washington', 'ORG'), ('Donald Trump', 'PERSON'), ('Barack Obama', 'PERSON')]",Says [ORG]Denzel Washington[/ORG] supports [PERSON]Donald Trump[/PERSON] and speaks out against [PERSON]Barack Obama[/PERSON].
1,"U.S. Sen. Kay Bailey Hutchison ""voted to continue Roe v. Wade.","[('U.S.', 'GPE'), ('Kay Bailey Hutchison', 'PERSON'), ('Roe v. Wade', 'LAW')]","[GPE]U.S.[/GPE] Sen. [PERSON]Kay Bailey Hutchison[/PERSON] ""voted to continue [LAW]Roe v. Wade[/LAW]."
